transaction_id,user_id,transaction_time,date,hour,dayofweek,amount,merchant_category,channel,device_type,location,is_new_device,is_foreign_ip,retry_count,merchant_risk,risk_score,status,is_fraud
T000038,U0157,2026-04-18 19:17:00,2026-04-18,19,5,433700,송금,체크카드,Web,해외,0,0,0,0.094,11.9,추가인증,0
T000039,U0359,2026-02-11 20:51:00,2026-02-11,20,2,129300,교육,신용카드,Android,서울,0,0,0,0.246,18.1,추가인증,0
T000040,U0133,2026-03-01 03:49:00,2026-03-01,3,6,63700,구독,계좌이체,Web,대구,0,0,0,0.026,23.4,승인,0
T000041,U0178,2026-01-28 11:14:00,2026-01-28,11,2,58600,카페,해외결제,iOS,경기,0,0,4,0.174,29.9,추가인증,0
T000042,U0307,2026-01-11 13:45:00,2026-01-11,13,6,44900,교통,신용카드,ATM,부산,0,0,0,0.107,15.2,승인,0
T000043,U0301,2026-05-01 07:43:00,2026-05-01,7,4,350900,투자,해외결제,Android,해외,0,1,0,0.253,35.6,승인,0
T000044,U0033,2026-02-06 18:52:00,2026-02-06,18,4,116800,교육,계좌이체,Android,해외,0,1,0,0.369,48.1,승인,0
T000045,U0132,2026-05-19 12:42:00,2026-05-19,12,1,671000,송금,간편결제,ATM,서울,0,0,0,0.048,9.0,승인,0
T000046,U0232,2026-01-19 18:17:00,2026-01-19,18,0,37500,카페,해외결제,iOS,대구,0,0,0,0.212,11.8,승인,0
T000047,U0351,2026-03-13 12:52:00,2026-03-13,12,4,40300,편의점,계좌이체,Android,경기,0,0,0,0.046,8.8,승인,0
T000048,U0091,2026-04-15 13:58:00,2026-04-15,13,2,78600,카페,신용카드,Web,대구,0,0,0,0.317,19.5,승인,0
T000049,U0140,2026-05-30 08:49:00,2026-05-30,8,5,1023500,해외결제,계좌이체,ATM,해외,0,1,1,0.259,34.7,승인,0
T000050,U0169,2026-01-30 19:41:00,2026-01-30,19,4,99200,해외결제,해외결제,Android,해외,1,1,1,0.52,63.8,승인,0
T000051,U0229,2026-05-01 22:08:00,2026-05-01,22,4,67000,교통,간편결제,iOS,부산,0,0,0,0.189,14.8,승인,0
T000052,U0337,2026-01-18 13:57:00,2026-01-18,13,6,102600,교통,해외결제,iOS,광주,1,0,0,0.068,22.5,승인,0
T000053,U0192,2026-04-15 10:17:00,2026-04-15,10,2,87500,온라인쇼핑,간편결제,Android,경기,0,0,0,0.358,23.1,승인,0
T000054,U0218,2026-04-30 08:06:00,2026-04-30,8,3,30800,투자,신용카드,iOS,대전,0,0,0,0.09,9.7,승인,0
T000055,U0028,2026-03-05 10:18:00,2026-03-05,10,3,30700,구독,계좌이체,Web,해외,0,0,1,0.158,9.2,승인,0
T000056,U0018,2026-03-27 09:40:00,2026-03-27,9,4,40600,구독,계좌이체,iOS,부산,0,0,0,0.188,11.8,승인,0
T000057,U0230,2026-03-03 14:27:00,2026-03-03,14,1,96400,병원,해외결제,Web,해외,0,0,1,0.258,10.7,승인,0
T000058,U0363,2026-03-17 21:16:00,2026-03-17,21,1,253100,해외결제,신용카드,ATM,해외,0,1,4,0.611,65.1,승인,0
T000059,U0314,2026-05-28 18:48:00,2026-05-28,18,3,101300,편의점,체크카드,Android,경기,1,0,0,0.353,38.6,승인,0
T000060,U0194,2026-01-25 08:58:00,2026-01-25,8,6,126500,교통,해외결제,Android,서울,0,0,0,0.183,18.2,승인,0
T000061,U0157,2026-01-15 18:01:00,2026-01-15,18,3,245200,투자,해외결제,Android,광주,0,0,0,0.1,11.7,추가인증,0
T000062,U0064,2026-05-28 13:04:00,2026-05-28,13,3,425200,송금,계좌이체,Android,광주,0,0,2,0.067,10.0,추가인증,0
T000063,U0347,2026-04-02 07:41:00,2026-04-02,7,3,30100,편의점,간편결제,ATM,해외,0,0,0,0.132,12.7,승인,0
T000064,U0390,2026-04-20 18:21:00,2026-04-20,18,0,263200,투자,간편결제,Android,경기,0,0,0,0.687,28.1,보류,0
T000065,U0367,2026-05-17 05:00:00,2026-05-17,5,6,91900,해외결제,체크카드,Android,해외,0,1,0,0.41,52.7,승인,0
T000066,U0323,2026-01-19 17:42:00,2026-01-19,17,0,99100,카페,신용카드,Android,대전,1,0,0,0.08,24.7,추가인증,0
T000067,U0261,2026-01-04 10:31:00,2026-01-04,10,6,273800,송금,신용카드,iOS,대구,0,0,0,0.359,14.4,승인,0
T000068,U0195,2026-02-25 06:48:00,2026-02-25,6,2,62600,온라인쇼핑,해외결제,Web,해외,0,0,0,0.165,17.7,승인,0
T000069,U0032,2026-04-30 19:49:00,2026-04-30,19,3,89800,교육,해외결제,Android,광주,0,0,3,0.089,22.5,보류,0
T000070,U0103,2026-01-25 15:01:00,2026-01-25,15,6,75200,교육,체크카드,ATM,서울,1,0,0,0.071,27.0,거절,0
T000071,U0342,2026-04-08 15:48:00,2026-04-08,15,2,139300,편의점,해외결제,iOS,서울,1,0,0,0.051,24.6,보류,0
T000072,U0214,2026-02-23 13:44:00,2026-02-23,13,0,167000,병원,체크카드,ATM,대전,1,0,0,0.047,28.2,추가인증,0
T000073,U0392,2026-03-11 16:38:00,2026-03-11,16,2,224400,구독,체크카드,iOS,해외,0,1,0,0.166,32.1,승인,0
T000074,U0198,2026-03-20 23:25:00,2026-03-20,23,4,274900,송금,계좌이체,Web,광주,0,0,0,0.28,18.4,승인,0
T000075,U0299,2026-01-22 12:08:00,2026-01-22,12,3,59700,편의점,신용카드,Web,경기,1,0,0,0.128,26.9,승인,0
T000076,U0170,2026-01-13 22:09:00,2026-01-13,22,1,40300,편의점,신용카드,iOS,부산,0,0,2,0.165,11.0,추가인증,0
T000077,U0264,2026-02-21 09:02:00,2026-02-21,9,5,55700,교육,계좌이체,ATM,대구,0,0,0,0.472,24.8,승인,0
T000078,U0217,2026-03-15 00:28:00,2026-03-15,0,6,117300,대출상환,신용카드,Android,해외,0,1,0,0.168,50.6,승인,0
T000079,U0297,2026-05-18 20:29:00,2026-05-18,20,0,259000,편의점,계좌이체,iOS,경기,0,0,0,0.107,4.3,승인,0
T000080,U0154,2026-03-22 14:59:00,2026-03-22,14,6,102900,편의점,계좌이체,Android,해외,0,0,0,0.197,15.1,승인,0
T000081,U0072,2026-04-23 08:34:00,2026-04-23,8,3,25800,카페,신용카드,ATM,부산,0,0,0,0.515,18.6,승인,0
T000082,U0133,2026-03-26 07:47:00,2026-03-26,7,3,246500,구독,간편결제,Android,경기,0,0,0,0.023,9.0,승인,0
T000083,U0364,2026-03-27 07:23:00,2026-03-27,7,4,119700,교통,해외결제,Android,해외,0,0,0,0.198,9.4,승인,0
T000084,U0062,2026-04-13 20:56:00,2026-04-13,20,0,45700,온라인쇼핑,계좌이체,Android,광주,0,0,0,0.104,14.3,승인,0
T000085,U0273,2026-03-16 19:23:00,2026-03-16,19,0,55600,구독,신용카드,Web,해외,1,0,0,0.175,32.0,승인,0
T000086,U0062,2026-05-30 12:22:00,2026-05-30,12,5,1542300,투자,간편결제,iOS,경기,0,0,0,0.218,31.9,승인,0
T000087,U0380,2026-02-17 18:38:00,2026-02-17,18,1,247200,병원,체크카드,ATM,부산,0,0,0,0.063,12.9,승인,0
T000088,U0255,2026-03-03 08:23:00,2026-03-03,8,1,297900,대출상환,체크카드,Android,서울,0,0,0,0.108,9.6,승인,0
T000089,U0022,2026-01-28 10:06:00,2026-01-28,10,2,58100,카페,해외결제,ATM,대구,0,0,0,0.268,19.9,승인,0
T000090,U0131,2026-05-26 10:42:00,2026-05-26,10,1,70500,카페,해외결제,ATM,서울,0,0,1,0.212,7.9,승인,0
T000091,U0309,2026-05-06 18:35:00,2026-05-06,18,2,18900,구독,간편결제,iOS,대전,0,0,3,0.324,35.5,승인,0
T000092,U0323,2026-03-22 22:52:00,2026-03-22,22,6,32300,카페,간편결제,iOS,해외,0,1,1,0.228,39.3,승인,0
T000093,U0330,2026-03-04 18:30:00,2026-03-04,18,2,301300,송금,체크카드,iOS,광주,0,0,0,0.452,19.2,승인,0
T000094,U0346,2026-05-22 09:05:00,2026-05-22,9,4,201500,투자,신용카드,ATM,대구,0,0,0,0.227,15.9,승인,0
T000095,U0209,2026-01-11 16:50:00,2026-01-11,16,6,547200,송금,계좌이체,Android,광주,0,0,0,0.116,8.6,거절,0
T000096,U0354,2026-05-12 17:00:00,2026-05-12,17,1,444500,병원,해외결제,Android,광주,0,0,5,0.256,38.7,승인,0
T000097,U0227,2026-04-26 07:53:00,2026-04-26,7,6,72000,카페,체크카드,Web,해외,0,0,0,0.113,12.1,승인,0
T000098,U0359,2026-04-16 18:53:00,2026-04-16,18,3,64100,병원,체크카드,Android,광주,0,0,1,0.25,19.5,승인,0
T000099,U0398,2026-04-30 08:50:00,2026-04-30,8,3,119400,교육,신용카드,Web,경기,0,0,1,0.201,14.5,승인,0
T000100,U0254,2026-02-13 18:47:00,2026-02-13,18,4,205400,송금,해외결제,ATM,대전,1,0,0,0.14,26.6,승인,0
T000101,U0173,2026-01-12 10:50:00,2026-01-12,10,0,232500,카페,해외결제,Web,대전,0,0,0,0.233,12.6,승인,0
T000102,U0109,2026-05-17 15:04:00,2026-05-17,15,6,361200,투자,체크카드,ATM,서울,0,0,0,0.301,18.7,승인,0
T000103,U0237,2026-03-17 18:26:00,2026-03-17,18,1,178400,카페,간편결제,Android,광주,1,0,0,0.126,23.6,승인,0
T000104,U0097,2026-02-07 12:57:00,2026-02-07,12,5,117700,교육,계좌이체,ATM,대전,0,0,5,0.131,29.9,승인,0
T000105,U0222,2026-03-28 23:28:00,2026-03-28,23,5,70400,교통,간편결제,Web,부산,0,0,0,0.063,5.6,승인,0
T000106,U0182,2026-01-24 00:03:00,2026-01-24,0,5,14500,구독,계좌이체,Android,광주,1,0,2,0.098,42.5,보류,0
T000107,U0216,2026-04-06 23:43:00,2026-04-06,23,0,98600,편의점,체크카드,Web,광주,0,0,0,0.261,17.9,승인,0
T000108,U0043,2026-01-05 11:30:00,2026-01-05,11,0,678400,대출상환,해외결제,iOS,대구,0,0,0,0.166,6.2,승인,0
T000109,U0352,2026-01-22 00:46:00,2026-01-22,0,3,151700,해외결제,해외결제,Web,해외,0,1,2,0.223,47.9,승인,0
T000110,U0386,2026-02-19 09:20:00,2026-02-19,9,3,83800,편의점,해외결제,ATM,대구,0,0,0,0.369,19.1,승인,0
T000111,U0192,2026-01-08 19:19:00,2026-01-08,19,3,51400,카페,해외결제,iOS,광주,0,0,0,0.424,23.3,승인,0
T000112,U0163,2026-04-29 18:42:00,2026-04-29,18,2,129300,온라인쇼핑,신용카드,Web,해외,1,1,0,0.208,57.5,승인,0
T000113,U0252,2026-02-19 13:25:00,2026-02-19,13,3,888800,송금,간편결제,Web,부산,0,0,0,0.294,16.3,승인,0
T000114,U0009,2026-03-24 17:58:00,2026-03-24,17,1,339600,투자,간편결제,Web,해외,0,1,0,0.529,48.3,승인,0
T000115,U0211,2026-01-28 10:43:00,2026-01-28,10,2,254800,대출상환,간편결제,Android,경기,0,0,2,0.25,11.5,승인,0
T000116,U0134,2026-02-21 20:32:00,2026-02-21,20,5,90400,해외결제,신용카드,ATM,해외,0,1,0,0.359,43.7,승인,0
T000117,U0061,2026-05-05 21:37:00,2026-05-05,21,1,279000,해외결제,간편결제,ATM,해외,0,1,0,0.278,38.8,승인,0
T000118,U0152,2026-01-05 16:04:00,2026-01-05,16,0,149700,구독,신용카드,Web,광주,0,0,0,0.478,24.9,승인,0
T000119,U0198,2026-03-27 09:46:00,2026-03-27,9,4,106300,병원,간편결제,Web,대구,1,0,0,0.344,40.4,승인,0
T000120,U0053,2026-04-18 13:15:00,2026-04-18,13,5,31100,구독,계좌이체,iOS,대구,0,0,0,0.474,24.0,승인,0
T000121,U0252,2026-02-01 18:05:00,2026-02-01,18,6,152300,카페,해외결제,Android,서울,0,0,1,0.338,21.1,승인,0
T000122,U0028,2026-01-16 16:45:00,2026-01-16,16,4,73500,편의점,신용카드,Android,부산,0,0,0,0.2,17.8,승인,0
T000123,U0147,2026-02-01 09:15:00,2026-02-01,9,6,176900,송금,해외결제,Web,부산,0,0,0,0.176,14.4,승인,0
T000124,U0332,2026-03-12 10:03:00,2026-03-12,10,3,40700,병원,계좌이체,Web,해외,0,1,0,0.232,35.2,승인,0
T000125,U0226,2026-01-29 13:06:00,2026-01-29,13,3,57500,교통,신용카드,ATM,경기,0,0,1,0.301,13.2,승인,0
T000126,U0037,2026-02-12 11:13:00,2026-02-12,11,3,58300,교통,해외결제,Android,해외,0,0,0,0.259,14.5,승인,0
T000127,U0039,2026-02-19 18:25:00,2026-02-19,18,3,84400,구독,간편결제,ATM,부산,0,0,0,0.177,6.8,승인,0
T000128,U0185,2026-01-08 09:52:00,2026-01-08,9,3,119100,교통,해외결제,ATM,광주,0,0,2,0.281,10.4,승인,0
T000129,U0229,2026-01-12 09:51:00,2026-01-12,9,0,178400,카페,체크카드,ATM,광주,0,0,0,0.138,15.8,승인,0
T000130,U0351,2026-04-14 23:43:00,2026-04-14,23,1,338800,송금,체크카드,iOS,경기,0,0,0,0.111,12.7,승인,0
T000131,U0195,2026-03-08 13:40:00,2026-03-08,13,6,330700,송금,간편결제,ATM,경기,0,0,0,0.055,11.8,승인,0
T000132,U0338,2026-05-03 14:40:00,2026-05-03,14,6,93800,투자,체크카드,Android,부산,0,0,3,0.126,33.4,승인,0
T000133,U0393,2026-04-06 12:59:00,2026-04-06,12,0,206100,병원,간편결제,iOS,부산,0,0,0,0.196,11.9,승인,0
T000134,U0025,2026-02-09 23:04:00,2026-02-09,23,0,44800,교통,해외결제,ATM,부산,1,0,0,0.35,33.9,승인,0
T000135,U0147,2026-04-24 16:04:00,2026-04-24,16,4,41100,병원,체크카드,ATM,경기,0,0,0,0.054,6.9,승인,0
T000136,U0352,2026-04-15 22:29:00,2026-04-15,22,2,447300,송금,체크카드,Android,해외,0,0,0,0.194,10.6,승인,0
T000137,U0320,2026-02-21 20:18:00,2026-02-21,20,5,205300,송금,체크카드,iOS,부산,0,0,2,0.272,15.3,승인,0
T000138,U0316,2026-05-12 20:15:00,2026-05-12,20,1,246100,투자,간편결제,Web,대전,0,0,0,0.26,14.5,승인,0
T000139,U0255,2026-03-26 14:12:00,2026-03-26,14,3,63700,병원,체크카드,iOS,서울,0,0,0,0.308,20.0,승인,0
T000140,U0185,2026-02-28 20:17:00,2026-02-28,20,5,343300,투자,해외결제,iOS,대구,0,0,0,0.296,12.6,보류,0
T000141,U0106,2026-02-27 00:51:00,2026-02-27,0,4,330600,대출상환,체크카드,Android,대전,0,0,0,0.084,25.0,승인,0
T000142,U0213,2026-02-08 10:17:00,2026-02-08,10,6,243000,대출상환,신용카드,ATM,대전,0,0,0,0.027,7.1,승인,0
T000143,U0266,2026-01-16 08:57:00,2026-01-16,8,4,143900,교통,해외결제,Web,경기,1,0,1,0.203,35.6,승인,0
T000144,U0163,2026-05-27 18:21:00,2026-05-27,18,2,292400,교통,신용카드,iOS,대구,0,0,0,0.309,21.5,승인,0
T000145,U0400,2026-02-18 14:39:00,2026-02-18,14,2,47200,온라인쇼핑,해외결제,Web,해외,0,0,0,0.219,14.5,승인,0
T000146,U0374,2026-05-25 21:35:00,2026-05-25,21,0,99700,교육,간편결제,Android,해외,0,0,0,0.234,12.6,승인,0
T000147,U0077,2026-05-03 17:22:00,2026-05-03,17,6,36900,교통,간편결제,ATM,해외,0,1,1,0.228,37.5,승인,0
T000148,U0392,2026-05-15 11:06:00,2026-05-15,11,4,214700,온라인쇼핑,해외결제,Android,광주,0,0,1,0.086,11.4,승인,0
T000149,U0124,2026-03-09 06:38:00,2026-03-09,6,0,87800,편의점,체크카드,Web,광주,0,0,0,0.142,10.4,승인,0
T000150,U0102,2026-02-09 22:01:00,2026-02-09,22,0,119700,카페,해외결제,ATM,해외,0,0,0,0.255,17.4,승인,0
T000151,U0126,2026-05-01 18:21:00,2026-05-01,18,4,30400,교통,체크카드,ATM,광주,0,0,5,0.089,21.5,승인,0
T000152,U0301,2026-04-22 20:09:00,2026-04-22,20,2,53600,교통,신용카드,Android,서울,0,0,0,0.151,5.5,승인,0
T000153,U0272,2026-02-20 15:19:00,2026-02-20,15,4,634400,투자,계좌이체,Web,대전,0,0,0,0.165,9.4,승인,0
T000154,U0178,2026-04-05 10:24:00,2026-04-05,10,6,147400,병원,해외결제,iOS,부산,0,0,0,0.425,18.6,승인,0
T000155,U0149,2026-02-02 08:03:00,2026-02-02,8,0,58500,병원,신용카드,iOS,대구,0,0,0,0.227,8.3,승인,0
T000156,U0020,2026-04-08 17:29:00,2026-04-08,17,2,30500,교육,간편결제,ATM,서울,0,0,0,0.069,6.9,승인,0
T000157,U0149,2026-01-27 20:00:00,2026-01-27,20,1,111100,카페,해외결제,Web,서울,1,0,0,0.199,32.4,승인,0
T000158,U0043,2026-02-25 20:04:00,2026-02-25,20,2,426900,대출상환,신용카드,iOS,대구,0,0,0,0.204,14.6,승인,0
T000159,U0001,2026-01-10 07:56:00,2026-01-10,7,5,411200,온라인쇼핑,신용카드,Web,광주,0,0,0,0.467,28.1,보류,0
T000160,U0364,2026-04-05 13:55:00,2026-04-05,13,6,406900,편의점,간편결제,Android,대구,0,0,1,0.056,9.8,승인,0
T000161,U0258,2026-05-27 17:27:00,2026-05-27,17,2,60400,대출상환,해외결제,Android,부산,0,0,0,0.226,8.3,승인,0
T000162,U0209,2026-03-10 14:20:00,2026-03-10,14,1,162300,투자,해외결제,ATM,서울,0,0,0,0.307,18.5,승인,0
T000163,U0258,2026-03-20 12:29:00,2026-03-20,12,4,180300,교육,계좌이체,Android,부산,0,0,0,0.074,13.1,승인,0
T000164,U0344,2026-03-18 23:34:00,2026-03-18,23,2,314400,대출상환,해외결제,Android,해외,0,0,0,0.235,8.5,승인,0
T000165,U0306,2026-05-13 23:31:00,2026-05-13,23,2,531000,대출상환,신용카드,Android,광주,0,0,2,0.247,12.9,추가인증,0
T000166,U0230,2026-03-22 18:10:00,2026-03-22,18,6,471700,해외결제,간편결제,Android,해외,0,1,0,0.204,37.2,승인,0
T000167,U0298,2026-04-05 16:48:00,2026-04-05,16,6,83700,온라인쇼핑,계좌이체,Android,광주,0,0,0,0.153,9.0,승인,0
T000168,U0106,2026-03-15 17:12:00,2026-03-15,17,6,1060300,송금,해외결제,Android,해외,1,1,0,0.127,53.9,승인,0
T000169,U0091,2026-04-23 14:44:00,2026-04-23,14,3,178700,편의점,해외결제,iOS,서울,0,0,0,0.193,12.9,승인,0
T000170,U0390,2026-05-02 18:39:00,2026-05-02,18,5,373800,교통,해외결제,iOS,서울,1,0,0,0.138,24.5,승인,0
T000171,U0124,2026-01-18 07:13:00,2026-01-18,7,6,50700,교통,간편결제,Web,대전,0,0,1,0.2,18.0,승인,0
T000172,U0285,2026-03-26 11:45:00,2026-03-26,11,3,73200,교통,체크카드,ATM,대전,0,0,0,0.206,16.6,승인,0
T000173,U0068,2026-02-12 15:03:00,2026-02-12,15,3,181000,온라인쇼핑,간편결제,ATM,부산,0,0,0,0.271,21.1,승인,0
T000174,U0361,2026-03-02 23:30:00,2026-03-02,23,0,392600,병원,간편결제,iOS,서울,1,0,0,0.297,38.9,거절,0
T000175,U0164,2026-03-28 12:19:00,2026-03-28,12,5,115600,카페,해외결제,Web,광주,0,0,0,0.157,12.4,승인,0
T000176,U0360,2026-02-21 10:48:00,2026-02-21,10,5,350300,대출상환,계좌이체,Android,대구,0,0,3,0.18,27.5,승인,0
T000177,U0180,2026-03-04 18:56:00,2026-03-04,18,2,63900,카페,계좌이체,iOS,대전,0,0,2,0.104,8.9,승인,0
T000178,U0281,2026-03-26 23:06:00,2026-03-26,23,3,32900,구독,간편결제,ATM,광주,0,0,3,0.198,33.9,승인,0
T000179,U0319,2026-04-12 08:31:00,2026-04-12,8,6,67100,카페,신용카드,Web,해외,0,1,1,0.166,40.2,거절,0
T000180,U0242,2026-02-26 19:22:00,2026-02-26,19,3,117700,송금,신용카드,ATM,대전,1,0,0,0.273,29.6,승인,0
T000181,U0391,2026-04-30 19:25:00,2026-04-30,19,3,24600,병원,해외결제,Android,해외,0,1,0,0.271,45.4,승인,0
T000182,U0245,2026-02-08 19:38:00,2026-02-08,19,6,1443100,송금,체크카드,Web,대구,0,0,0,0.301,21.8,승인,0
T000183,U0078,2026-04-17 11:08:00,2026-04-17,11,4,24900,구독,간편결제,Web,부산,0,0,0,0.235,15.6,승인,0
T000184,U0052,2026-02-16 14:10:00,2026-02-16,14,0,1321000,투자,신용카드,Android,대전,0,0,0,0.167,9.8,승인,0
T000185,U0357,2026-02-08 17:04:00,2026-02-08,17,6,136000,해외결제,신용카드,iOS,해외,0,1,0,0.318,37.6,승인,0
T000186,U0223,2026-02-26 23:43:00,2026-02-26,23,3,146500,해외결제,계좌이체,Web,해외,0,1,1,0.251,40.1,승인,0
T000187,U0168,2026-02-03 10:43:00,2026-02-03,10,1,324500,해외결제,해외결제,Web,해외,0,1,1,0.373,41.6,승인,0
T000188,U0018,2026-01-10 17:01:00,2026-01-10,17,5,49800,구독,간편결제,Web,해외,0,0,5,0.469,36.9,승인,0
T000189,U0182,2026-03-08 12:23:00,2026-03-08,12,6,485300,대출상환,체크카드,ATM,경기,0,0,0,0.087,4.8,승인,0
T000190,U0349,2026-03-31 21:06:00,2026-03-31,21,1,88900,구독,체크카드,ATM,경기,0,0,0,0.133,6.8,승인,0
T000191,U0126,2026-01-18 18:44:00,2026-01-18,18,6,138800,투자,간편결제,Android,대전,0,0,0,0.347,22.2,승인,0
T000192,U0149,2026-03-08 14:58:00,2026-03-08,14,6,2107200,대출상환,간편결제,ATM,대구,0,0,0,0.449,46.2,승인,0
T000193,U0361,2026-02-16 15:53:00,2026-02-16,15,0,238900,투자,체크카드,ATM,부산,0,0,2,0.285,13.7,승인,0
T000194,U0304,2026-03-06 08:44:00,2026-03-06,8,4,106600,교육,체크카드,Web,해외,0,0,1,0.146,10.7,승인,0
T000195,U0156,2026-01-18 11:35:00,2026-01-18,11,6,543900,송금,해외결제,Web,광주,0,0,0,0.341,16.6,승인,0
T000196,U0102,2026-01-29 17:45:00,2026-01-29,17,3,27800,구독,계좌이체,Web,경기,0,0,0,0.105,10.6,거절,0
T000197,U0007,2026-03-29 16:18:00,2026-03-29,16,6,52400,편의점,해외결제,ATM,해외,1,0,0,0.051,21.0,승인,0
T000198,U0319,2026-03-24 14:16:00,2026-03-24,14,1,160000,교육,체크카드,ATM,해외,1,0,1,0.408,39.3,승인,0
