change_id,user_id,change_time,change_type,device_id,ip_addr,country
C00038,U0173,2026-02-19 16:08:00,password,DEV-0173-0,211.74.144.20,KR
C00039,U0233,2026-02-21 19:32:00,password,DEV-0233-0,211.245.251.12,KR
C00040,U0215,2026-02-22 15:50:00,phone,DEV-0215-new,211.226.49.15,KR
C00041,U0032,2026-02-26 00:52:00,phone,DEV-0032-new,211.27.9.44,해외
C00042,U0107,2026-02-27 04:00:00,password,DEV-0107-new,211.59.106.175,해외
C00043,U0334,2026-02-28 03:11:00,email,DEV-0334-new,211.25.182.32,KR
C00044,U0106,2026-02-28 10:35:00,email,DEV-0106-new,211.174.66.54,KR
C00045,U0273,2026-03-03 19:41:00,email,BOT-3558,45.126.250.4,해외
C00046,U0365,2026-03-03 21:53:00,email,BOT-4498,45.200.101.128,KR
C00047,U0219,2026-03-06 00:25:00,password,DEV-0219-0,211.1.34.201,KR
C00048,U0043,2026-03-12 04:39:00,email,BOT-4546,45.111.61.105,해외
C00049,U0316,2026-03-14 03:33:00,email,DEV-0316-new,211.44.201.138,해외
C00050,U0122,2026-03-15 15:14:00,password,DEV-0122-0,211.49.170.221,KR
C00051,U0314,2026-03-15 16:14:00,email,DEV-0314-new,211.247.187.135,해외
C00052,U0383,2026-03-17 10:21:00,email,DEV-0383-new,211.230.50.152,KR
C00053,U0053,2026-03-19 19:26:00,email,BOT-3210,45.46.26.6,해외
C00054,U0071,2026-03-20 05:37:00,phone,BOT-2594,45.170.153.132,해외
C00055,U0225,2026-03-23 04:13:00,phone,DEV-0225-new,211.53.93.194,KR
C00056,U0337,2026-03-24 05:11:00,email,BOT-1938,45.121.196.3,해외
C00057,U0217,2026-03-26 20:56:00,password,DEV-0217-0,211.247.100.59,KR
C00058,U0375,2026-03-27 00:01:00,password,DEV-0375-0,211.215.101.171,KR
C00059,U0289,2026-04-01 11:26:00,password,DEV-0289-0,211.86.156.95,KR
C00060,U0297,2026-04-01 16:40:00,password,DEV-0297-0,211.54.182.162,KR
C00061,U0278,2026-04-04 10:59:00,password,DEV-0278-new,211.38.3.20,KR
C00062,U0143,2026-04-06 11:29:00,password,DEV-0143-new,211.122.174.104,해외
C00063,U0069,2026-04-07 21:30:00,password,DEV-0069-new,211.230.200.52,KR
C00064,U0222,2026-04-08 11:53:00,email,BOT-6568,45.47.19.122,KR
C00065,U0373,2026-04-08 14:19:00,password,DEV-0373-0,211.32.178.93,KR
C00066,U0219,2026-04-10 09:50:00,phone,DEV-0219-new,211.1.34.201,KR
C00067,U0067,2026-04-12 03:36:00,email,BOT-2268,45.141.77.103,해외
C00068,U0263,2026-04-15 03:45:00,password,DEV-0263-0,211.161.114.109,KR
C00069,U0220,2026-04-16 21:19:00,phone,DEV-0220-new,211.23.125.254,KR
C00070,U0124,2026-04-18 04:45:00,email,BOT-4040,45.208.223.61,해외
C00071,U0322,2026-04-18 15:51:00,password,DEV-0322-0,211.3.91.35,KR
C00072,U0233,2026-04-19 08:20:00,email,DEV-0233-new,211.245.251.12,해외
C00073,U0346,2026-04-22 00:46:00,phone,DEV-0346-new,211.95.37.126,해외
C00074,U0294,2026-04-22 01:52:00,password,DEV-0294-new,211.159.146.242,KR
C00075,U0120,2026-04-24 06:00:00,phone,DEV-0120-new,211.93.255.23,해외
C00076,U0205,2026-04-29 21:07:00,password,DEV-0205-0,211.43.202.219,KR
C00077,U0130,2026-04-29 21:50:00,password,DEV-0130-0,211.86.189.43,KR
C00078,U0288,2026-05-03 19:16:00,password,DEV-0288-0,211.190.159.160,KR
C00079,U0039,2026-05-07 05:24:00,phone,DEV-0039-new,211.145.169.174,해외
C00080,U0192,2026-05-09 11:36:00,email,DEV-0192-new,211.240.49.249,KR
C00081,U0255,2026-05-11 13:02:00,password,DEV-0255-0,211.220.133.170,KR
C00082,U0171,2026-05-12 00:45:00,password,DEV-0171-0,211.123.221.121,KR
C00083,U0154,2026-05-12 21:55:00,password,DEV-0154-new,211.170.27.241,KR
C00084,U0336,2026-05-16 00:53:00,phone,BOT-5454,45.205.232.100,해외
C00085,U0082,2026-05-18 07:16:00,phone,BOT-3409,45.166.14.13,해외
C00086,U0104,2026-05-19 10:52:00,password,DEV-0104-0,211.80.179.35,KR
C00087,U0010,2026-05-22 08:01:00,password,DEV-0010-0,211.91.166.133,KR
C00088,U0085,2026-05-23 02:37:00,password,DEV-0085-new,211.22.1.66,KR
C00089,U0055,2026-05-23 23:15:00,email,BOT-1191,45.7.127.45,KR
C00090,U0084,2026-05-25 14:00:00,email,BOT-9411,45.157.97.158,해외
C00091,U0256,2026-05-27 03:55:00,phone,DEV-0256-new,211.152.206.95,KR
C00092,U0139,2026-05-28 10:35:00,password,DEV-0139-0,211.149.131.128,KR
C00093,U0244,2026-05-29 01:55:00,password,DEV-0244-0,211.141.192.94,KR
