login_id,user_id,login_time,ip_addr,device_id,os_version,country,login_success,is_attack_ip,is_account_takeover
L000021,U0309,2026-01-01 19:42:00,211.51.40.105,DEV-0309-0,iOS 17.4,KR,1,0,0
L000022,U0021,2026-01-01 19:46:00,211.53.124.211,DEV-0021-0,Android 14,KR,1,0,0
L000023,U0213,2026-01-01 19:49:00,121.85.48.66,DEV-0213-0,macOS 14,KR,1,0,0
L000024,U0141,2026-01-01 19:57:00,211.124.112.152,DEV-0141-0,iOS 16.6,KR,1,0,0
L000025,U0296,2026-01-01 20:19:00,211.134.22.63,DEV-0296-0,Android 13,KR,1,0,0
L000026,U0033,2026-01-01 20:47:00,211.106.41.104,DEV-0033-0,macOS 14,KR,1,0,0
L000027,U0118,2026-01-01 21:34:00,211.167.100.142,DEV-0118-new,Android 13,KR,1,0,0
L000028,U0070,2026-01-01 21:49:00,211.196.42.38,DEV-0070-0,macOS 14,KR,1,0,0
L000029,U0094,2026-01-01 22:03:00,211.109.214.219,DEV-0094-0,iOS 17.4,KR,1,0,0
L000030,U0384,2026-01-01 22:33:00,211.55.193.244,DEV-0384-0,macOS 14,KR,1,0,0
L000031,U0400,2026-01-01 22:53:00,211.139.135.36,DEV-0400-0,Android 14,KR,1,0,0
L000032,U0119,2026-01-01 22:57:00,211.234.207.31,DEV-0119-1,Android 13,KR,1,0,0
L000033,U0063,2026-01-01 23:36:00,211.99.56.157,DEV-0063-0,Android 13,KR,0,0,0
L000034,U0272,2026-01-01 23:55:00,211.120.72.51,DEV-0272-new,iOS 17.4,KR,1,0,0
L000035,U0021,2026-01-02 06:03:00,211.53.124.211,DEV-0021-0,Android 14,KR,1,0,0
L000036,U0054,2026-01-02 06:09:00,211.161.12.197,DEV-0054-0,Windows 11,KR,1,0,0
L000037,U0007,2026-01-02 06:36:00,211.121.39.96,DEV-0007-0,Windows 11,KR,1,0,0
L000038,U0030,2026-01-02 06:48:00,121.49.124.29,DEV-0030-0,Android 13,KR,1,0,0
L000039,U0126,2026-01-02 06:49:00,211.236.93.52,DEV-0126-0,iOS 17.4,KR,1,0,0
L000040,U0105,2026-01-02 07:15:00,211.156.177.44,DEV-0105-new,Windows 11,KR,1,0,0
L000041,U0064,2026-01-02 08:41:00,211.6.212.190,DEV-0064-0,Windows 11,KR,1,0,0
L000042,U0078,2026-01-02 09:02:00,211.134.218.99,DEV-0078-1,Android 13,KR,1,0,0
L000043,U0238,2026-01-02 09:20:00,211.160.229.130,DEV-0238-1,Windows 11,KR,1,0,0
L000044,U0151,2026-01-02 09:25:00,211.40.134.41,DEV-0151-0,Windows 11,KR,1,0,0
L000045,U0330,2026-01-02 09:49:00,211.252.120.102,DEV-0330-1,Windows 11,KR,1,0,0
L000046,U0003,2026-01-02 09:54:00,211.29.47.21,DEV-0003-0,iOS 16.6,KR,1,0,0
L000047,U0388,2026-01-02 10:38:00,121.85.48.66,DEV-0388-0,iOS 16.6,KR,1,0,0
L000048,U0348,2026-01-02 10:53:00,211.72.76.199,DEV-0348-1,iOS 17.4,KR,1,0,0
L000049,U0173,2026-01-02 10:56:00,211.74.144.20,DEV-0173-0,iOS 17.4,KR,1,0,0
L000050,U0333,2026-01-02 11:15:00,211.157.202.31,DEV-0333-new,iOS 17.4,KR,1,0,0
L000051,U0247,2026-01-02 12:01:00,211.50.212.87,DEV-0247-1,iOS 17.4,KR,1,0,0
L000052,U0200,2026-01-02 12:26:00,211.149.161.202,DEV-0200-0,iOS 16.6,KR,1,0,0
L000053,U0058,2026-01-02 12:42:00,121.122.6.3,DEV-0058-0,iOS 17.4,KR,1,0,0
L000054,U0236,2026-01-02 12:56:00,211.107.159.253,DEV-0236-0,iOS 17.4,KR,1,0,0
L000055,U0114,2026-01-02 13:48:00,121.89.108.72,DEV-0114-0,Windows 11,KR,1,0,0
L000056,U0015,2026-01-02 13:53:00,121.176.174.34,DEV-0015-0,Android 14,KR,1,0,0
L000057,U0248,2026-01-02 13:55:00,211.56.183.113,DEV-0248-0,iOS 17.4,KR,1,0,0
L000058,U0125,2026-01-02 14:10:00,211.161.241.187,DEV-0125-0,macOS 14,KR,1,0,0
L000059,U0008,2026-01-02 14:45:00,211.44.47.37,DEV-0008-0,Windows 11,KR,1,0,0
L000060,U0114,2026-01-02 14:48:00,211.155.47.128,DEV-0114-0,Windows 11,KR,1,0,0
L000061,U0152,2026-01-02 15:55:00,121.166.152.51,DEV-0152-0,Windows 11,KR,1,0,0
L000062,U0054,2026-01-02 16:17:00,121.176.174.34,DEV-0054-0,Windows 11,KR,1,0,0
L000063,U0386,2026-01-02 16:40:00,121.152.24.188,DEV-0386-0,Android 13,KR,1,0,0
L000064,U0368,2026-01-02 17:22:00,211.63.43.145,DEV-0368-0,Android 14,KR,1,0,0
L000065,U0251,2026-01-02 17:33:00,121.31.185.2,DEV-0251-0,Android 13,KR,1,0,0
L000066,U0113,2026-01-02 18:03:00,211.114.151.148,DEV-0113-0,Android 13,KR,1,0,0
L000067,U0037,2026-01-02 18:51:00,211.29.65.135,DEV-0037-0,Android 14,KR,1,0,0
L000068,U0384,2026-01-02 19:39:00,211.55.193.244,DEV-0384-new,Android 13,KR,1,0,0
L000069,U0104,2026-01-02 20:11:00,211.80.179.35,DEV-0104-0,macOS 14,KR,1,0,0
L000070,U0034,2026-01-02 20:38:00,211.12.132.146,DEV-0034-0,macOS 14,KR,1,0,0
L000071,U0069,2026-01-02 20:49:00,211.230.200.52,DEV-0069-1,Windows 11,KR,1,0,0
L000072,U0334,2026-01-02 21:49:00,211.25.182.32,DEV-0334-0,Android 13,KR,1,0,0
L000073,U0140,2026-01-02 21:56:00,211.80.146.56,DEV-0140-0,macOS 14,KR,1,0,0
L000074,U0170,2026-01-02 22:32:00,211.154.120.60,DEV-0170-1,macOS 14,KR,1,0,0
L000075,U0027,2026-01-02 23:23:00,211.109.150.90,DEV-0027-0,Android 13,KR,1,0,0
L000076,U0387,2026-01-02 23:34:00,121.122.6.3,DEV-0387-0,Android 14,KR,1,0,0
L000077,U0211,2026-01-03 00:08:00,211.140.128.196,DEV-0211-0,Android 14,KR,1,0,0
L000078,U0369,2026-01-03 00:12:00,211.31.85.105,DEV-0369-0,Windows 11,KR,1,0,0
L000079,U0098,2026-01-03 07:37:00,211.219.115.78,DEV-0098-0,Android 13,KR,1,0,0
L000080,U0013,2026-01-03 07:43:00,211.221.114.144,DEV-0013-0,macOS 14,KR,1,0,0
L000081,U0071,2026-01-03 08:14:00,211.251.214.174,DEV-0071-1,iOS 17.4,KR,1,0,0
L000082,U0359,2026-01-03 08:57:00,211.111.204.225,DEV-0359-new,iOS 17.4,KR,1,0,0
L000083,U0231,2026-01-03 09:12:00,211.13.86.189,DEV-0231-0,Android 13,KR,1,0,0
L000084,U0350,2026-01-03 09:28:00,211.138.192.119,DEV-0350-0,iOS 16.6,KR,1,0,0
L000085,U0301,2026-01-03 09:29:00,211.175.255.163,DEV-0301-0,Windows 11,KR,1,0,0
L000086,U0036,2026-01-03 11:06:00,121.41.60.64,DEV-0036-0,iOS 16.6,KR,1,0,0
L000087,U0134,2026-01-03 11:08:00,211.218.175.182,DEV-0134-0,iOS 16.6,KR,1,0,0
L000088,U0189,2026-01-03 11:34:00,211.193.37.34,DEV-0189-0,macOS 14,KR,1,0,0
L000089,U0172,2026-01-03 11:51:00,121.153.14.30,DEV-0172-1,iOS 17.4,KR,1,0,0
L000090,U0096,2026-01-03 12:25:00,211.220.153.47,DEV-0096-0,Android 14,KR,1,0,0
L000091,U0062,2026-01-03 12:38:00,211.103.127.45,DEV-0062-0,Windows 11,KR,1,0,0
L000092,U0288,2026-01-03 12:52:00,121.49.124.29,DEV-0288-0,iOS 17.4,KR,1,0,0
L000093,U0296,2026-01-03 12:54:00,121.215.55.65,DEV-0296-0,Android 13,KR,1,0,0
L000094,U0357,2026-01-03 12:58:00,211.43.223.187,DEV-0357-0,Windows 11,KR,1,0,0
L000095,U0199,2026-01-03 13:16:00,211.146.155.20,DEV-0199-0,Android 14,KR,1,0,0
L000096,U0381,2026-01-03 13:33:00,211.247.114.152,DEV-0381-0,Windows 11,KR,1,0,0
L000097,U0044,2026-01-03 13:40:00,211.198.169.21,DEV-0044-0,macOS 14,KR,1,0,0
L000098,U0088,2026-01-03 14:03:00,121.85.48.66,DEV-0088-0,iOS 16.6,KR,1,0,0
L000099,U0211,2026-01-03 14:17:00,45.144.234.5,BOT-3836,macOS 14,해외,0,1,0
L000100,U0339,2026-01-03 14:35:00,211.114.72.130,DEV-0339-new,iOS 17.4,KR,1,0,0
L000101,U0065,2026-01-03 14:45:00,121.92.156.115,DEV-0065-0,iOS 16.6,KR,1,0,0
L000102,U0133,2026-01-03 15:08:00,121.56.200.100,DEV-0133-0,Android 13,KR,1,0,0
L000103,U0272,2026-01-03 15:23:00,211.120.72.51,DEV-0272-0,Android 14,KR,1,0,0
L000104,U0009,2026-01-03 15:51:00,211.117.86.164,DEV-0009-0,iOS 17.4,KR,1,0,0
L000105,U0078,2026-01-03 15:52:00,211.134.218.99,DEV-0078-0,Android 14,KR,1,0,0
L000106,U0144,2026-01-03 16:05:00,121.89.108.72,DEV-0144-0,Android 13,KR,1,0,0
L000107,U0129,2026-01-03 17:09:00,121.55.48.142,DEV-0129-0,macOS 14,KR,1,0,0
L000108,U0179,2026-01-03 17:24:00,211.147.190.150,DEV-0179-0,Windows 11,KR,1,0,0
L000109,U0215,2026-01-03 17:47:00,211.226.49.15,DEV-0215-0,iOS 17.4,KR,1,0,0
L000110,U0395,2026-01-03 18:11:00,211.89.239.141,DEV-0395-new,Android 14,KR,1,0,0
L000111,U0010,2026-01-03 18:18:00,211.91.166.133,DEV-0010-0,Android 14,KR,1,0,0
L000112,U0369,2026-01-03 18:29:00,45.144.234.5,BOT-2747,iOS 17.4,해외,0,1,0
L000113,U0277,2026-01-03 20:03:00,211.19.184.32,DEV-0277-0,iOS 16.6,KR,1,0,0
L000114,U0377,2026-01-03 20:26:00,121.85.48.66,DEV-0377-0,Windows 11,KR,1,0,0
L000115,U0342,2026-01-03 20:34:00,121.166.152.51,DEV-0342-0,Windows 11,KR,1,0,0
L000116,U0186,2026-01-03 20:58:00,211.189.250.1,DEV-0186-0,Android 14,KR,1,0,0
L000117,U0142,2026-01-03 21:11:00,211.84.199.241,DEV-0142-1,macOS 14,KR,1,0,0
L000118,U0290,2026-01-03 21:29:00,211.197.168.132,DEV-0290-1,Windows 11,KR,1,0,0
L000119,U0125,2026-01-03 21:47:00,211.161.241.187,DEV-0125-1,Android 14,KR,1,0,0
L000120,U0199,2026-01-03 22:04:00,211.146.155.20,DEV-0199-new,iOS 16.6,KR,1,0,0
L000121,U0304,2026-01-03 22:15:00,45.137.34.122,BOT-9278,macOS 14,해외,0,1,0
L000122,U0141,2026-01-03 22:21:00,211.124.112.152,DEV-0141-0,iOS 16.6,KR,1,0,0
L000123,U0216,2026-01-03 22:32:00,45.144.234.5,BOT-8407,iOS 17.4,해외,0,1,0
L000124,U0393,2026-01-03 22:39:00,45.144.234.5,BOT-6170,iOS 17.4,해외,0,1,0
L000125,U0209,2026-01-03 23:15:00,211.217.1.65,DEV-0209-new,Windows 11,KR,1,0,0
L000126,U0094,2026-01-03 23:21:00,211.109.214.219,DEV-0094-0,iOS 17.4,KR,1,0,0
L000127,U0098,2026-01-03 23:55:00,121.30.133.147,DEV-0098-0,Android 13,KR,1,0,0
L000128,U0133,2026-01-03 23:57:00,211.70.15.38,DEV-0133-0,Android 13,KR,1,0,0
L000129,U0393,2026-01-03 23:58:00,45.144.234.5,BOT-3003,Android 14,해외,0,1,0
L000130,U0216,2026-01-04 01:08:00,45.144.234.5,BOT-1957,Android 13,해외,0,1,0
L000131,U0355,2026-01-04 01:33:00,45.144.234.5,BOT-2215,iOS 17.4,해외,0,1,0
L000132,U0315,2026-01-04 02:30:00,211.225.133.148,DEV-0315-0,iOS 16.6,KR,1,0,0
L000133,U0332,2026-01-04 03:21:00,121.34.88.241,DEV-0332-0,iOS 17.4,KR,1,0,0
L000134,U0031,2026-01-04 04:02:00,45.144.234.5,BOT-1110,Windows 11,해외,0,1,0
L000135,U0121,2026-01-04 04:06:00,211.39.246.179,DEV-0121-1,macOS 14,KR,1,0,0
L000136,U0309,2026-01-04 06:00:00,211.51.40.105,DEV-0309-0,iOS 17.4,KR,1,0,0
L000137,U0180,2026-01-04 06:08:00,121.176.174.34,DEV-0180-0,iOS 17.4,KR,1,0,0
L000138,U0109,2026-01-04 06:30:00,121.85.48.66,DEV-0109-0,iOS 17.4,KR,1,0,0
L000139,U0087,2026-01-04 07:32:00,211.132.72.101,DEV-0087-1,Windows 11,KR,1,0,0
L000140,U0285,2026-01-04 07:53:00,211.48.161.254,DEV-0285-0,iOS 16.6,KR,1,0,0
L000141,U0236,2026-01-04 07:57:00,211.107.159.253,DEV-0236-0,iOS 17.4,KR,1,0,0
L000142,U0295,2026-01-04 08:16:00,211.133.19.152,DEV-0295-0,iOS 16.6,KR,1,0,0
L000143,U0189,2026-01-04 08:18:00,45.144.234.5,BOT-3428,Android 14,해외,0,1,0
L000144,U0075,2026-01-04 08:20:00,211.93.211.28,DEV-0075-0,iOS 16.6,KR,1,0,0
L000145,U0109,2026-01-04 08:28:00,45.212.220.110,BOT-8675,Windows 11,해외,0,1,0
L000146,U0289,2026-01-04 08:44:00,121.55.48.142,DEV-0289-0,Android 13,KR,1,0,0
L000147,U0330,2026-01-04 08:59:00,211.252.120.102,DEV-0330-0,Android 13,KR,1,0,0
L000148,U0083,2026-01-04 09:02:00,121.172.48.189,DEV-0083-1,Android 13,KR,1,0,0
L000149,U0361,2026-01-04 09:18:00,211.31.144.135,DEV-0361-0,iOS 16.6,KR,1,0,0
L000150,U0142,2026-01-04 09:40:00,211.84.199.241,DEV-0142-0,Android 14,KR,1,0,0
L000151,U0390,2026-01-04 09:45:00,121.231.194.102,DEV-0390-0,macOS 14,KR,1,0,0
L000152,U0320,2026-01-04 09:52:00,211.220.195.102,DEV-0320-1,macOS 14,KR,1,0,0
L000153,U0227,2026-01-04 10:24:00,211.149.81.10,DEV-0227-0,macOS 14,KR,1,0,0
L000154,U0109,2026-01-04 10:31:00,45.212.220.110,BOT-6951,Android 14,해외,0,1,0
L000155,U0306,2026-01-04 10:31:00,211.151.28.79,DEV-0306-1,iOS 17.4,KR,1,0,0
L000156,U0052,2026-01-04 10:40:00,121.139.249.236,DEV-0052-0,iOS 17.4,KR,1,0,0
L000157,U0168,2026-01-04 10:48:00,211.30.41.140,DEV-0168-0,Android 13,해외,1,0,0
L000158,U0036,2026-01-04 10:51:00,211.52.227.102,DEV-0036-0,iOS 16.6,KR,1,0,0
L000159,U0092,2026-01-04 10:51:00,211.151.46.57,DEV-0092-new,Android 14,KR,1,0,0
L000160,U0155,2026-01-04 11:12:00,121.96.168.19,DEV-0155-0,Android 13,KR,1,0,0
L000161,U0231,2026-01-04 11:18:00,211.13.86.189,DEV-0231-0,Android 13,KR,1,0,0
L000162,U0232,2026-01-04 11:57:00,211.150.40.163,DEV-0232-1,Windows 11,KR,1,0,0
L000163,U0198,2026-01-04 12:30:00,211.9.39.161,DEV-0198-0,Windows 11,KR,1,0,0
L000164,U0300,2026-01-04 12:34:00,211.140.95.78,DEV-0300-0,iOS 16.6,KR,1,0,0
L000165,U0049,2026-01-04 13:03:00,211.126.29.197,DEV-0049-new,iOS 16.6,KR,1,0,0
L000166,U0098,2026-01-04 14:22:00,211.219.115.78,DEV-0098-0,Android 13,KR,1,0,0
L000167,U0099,2026-01-04 14:28:00,45.137.34.122,BOT-3829,iOS 16.6,해외,0,1,0
L000168,U0213,2026-01-04 14:41:00,211.26.175.56,DEV-0213-0,macOS 14,KR,1,0,0
L000169,U0142,2026-01-04 14:57:00,45.212.220.110,BOT-4578,iOS 17.4,해외,0,1,0
L000170,U0195,2026-01-04 14:58:00,45.31.172.44,BOT-3608,iOS 17.4,해외,0,1,0
L000171,U0355,2026-01-04 15:13:00,45.144.234.5,BOT-4544,Android 14,해외,0,1,0
L000172,U0304,2026-01-04 15:23:00,45.137.34.122,BOT-1066,Windows 11,해외,0,1,0
L000173,U0270,2026-01-04 15:27:00,211.228.228.128,DEV-0270-0,Android 14,KR,1,0,0
L000174,U0239,2026-01-04 15:55:00,211.152.20.251,DEV-0239-1,Android 13,KR,1,0,0
L000175,U0378,2026-01-04 15:59:00,121.153.14.30,DEV-0378-0,Android 13,KR,1,0,0
L000176,U0212,2026-01-04 16:06:00,45.175.101.219,BOT-6747,iOS 17.4,해외,0,1,0
L000177,U0121,2026-01-04 16:06:00,211.39.246.179,DEV-0121-0,Windows 11,KR,1,0,0
L000178,U0212,2026-01-04 16:11:00,45.175.101.219,BOT-7579,macOS 14,해외,0,1,0
L000179,U0189,2026-01-04 16:34:00,45.144.234.5,BOT-7256,macOS 14,해외,0,1,0
L000180,U0221,2026-01-04 16:41:00,211.112.186.206,DEV-0221-new,Android 14,KR,1,0,0
L000181,U0361,2026-01-04 17:02:00,211.31.144.135,DEV-0361-new,Windows 11,KR,0,0,0
L000182,U0257,2026-01-04 17:04:00,211.133.83.74,DEV-0257-new,iOS 16.6,KR,1,0,0
L000183,U0355,2026-01-04 17:04:00,45.144.234.5,BOT-7616,macOS 14,해외,0,1,0
L000184,U0009,2026-01-04 17:19:00,211.117.86.164,DEV-0009-new,iOS 17.4,KR,1,0,0
L000185,U0080,2026-01-04 17:31:00,211.216.118.219,DEV-0080-0,iOS 17.4,KR,1,0,0
L000186,U0216,2026-01-04 18:36:00,45.144.234.5,BOT-3849,iOS 17.4,해외,0,1,0
L000187,U0030,2026-01-04 18:38:00,121.49.124.29,DEV-0030-0,Android 13,KR,1,0,0
L000188,U0360,2026-01-04 18:38:00,211.46.24.36,DEV-0360-0,Windows 11,KR,1,0,0
L000189,U0369,2026-01-04 19:06:00,45.175.101.219,BOT-2921,iOS 17.4,해외,0,1,0
L000190,U0305,2026-01-04 19:24:00,121.139.249.236,DEV-0305-1,Android 13,KR,1,0,0
L000191,U0118,2026-01-04 19:29:00,211.167.100.142,DEV-0118-new,Android 14,KR,1,0,0
L000192,U0329,2026-01-04 20:12:00,211.200.189.96,DEV-0329-0,Windows 11,KR,1,0,0
L000193,U0307,2026-01-04 20:31:00,211.24.110.230,DEV-0307-0,Windows 11,KR,1,0,0
L000194,U0369,2026-01-04 20:41:00,45.175.101.219,BOT-1238,Windows 11,해외,0,1,0
L000195,U0164,2026-01-04 21:00:00,211.40.169.80,DEV-0164-0,iOS 16.6,KR,1,0,0
L000196,U0031,2026-01-04 21:19:00,45.144.234.5,BOT-1124,iOS 16.6,해외,0,1,0
L000197,U0287,2026-01-04 22:35:00,45.175.101.219,BOT-7519,iOS 17.4,해외,0,1,0
L000198,U0305,2026-01-04 23:18:00,211.215.152.163,DEV-0305-1,Android 13,KR,1,0,0
L000199,U0168,2026-01-04 23:44:00,211.30.41.140,DEV-0168-0,Android 13,KR,1,0,0
L000200,U0041,2026-01-05 02:50:00,45.175.101.219,BOT-3169,Windows 11,해외,0,1,0
L000201,U0224,2026-01-05 03:03:00,45.175.101.219,BOT-4178,Android 13,해외,0,1,0
L000202,U0180,2026-01-05 03:24:00,45.26.12.114,BOT-6856,iOS 16.6,해외,0,1,0
L000203,U0022,2026-01-05 05:10:00,211.66.55.207,DEV-0022-0,iOS 17.4,KR,1,0,0
L000204,U0144,2026-01-05 06:04:00,121.172.48.189,DEV-0144-0,Android 13,KR,1,0,0
L000205,U0325,2026-01-05 06:09:00,211.248.153.225,DEV-0325-0,Android 14,KR,1,0,0
L000206,U0309,2026-01-05 06:52:00,211.51.40.105,DEV-0309-0,iOS 17.4,KR,1,0,0
L000207,U0371,2026-01-05 07:09:00,211.102.255.200,DEV-0371-0,macOS 14,KR,1,0,0
L000208,U0041,2026-01-05 07:13:00,211.43.223.64,DEV-0041-new,Android 14,KR,1,0,0
L000209,U0071,2026-01-05 07:14:00,121.29.14.84,DEV-0071-1,iOS 17.4,KR,1,0,0
L000210,U0075,2026-01-05 08:04:00,211.93.211.28,DEV-0075-0,iOS 16.6,KR,1,0,0
L000211,U0097,2026-01-05 08:40:00,211.37.81.98,DEV-0097-new,Windows 11,KR,1,0,0
L000212,U0344,2026-01-05 08:52:00,211.238.28.238,DEV-0344-1,Android 13,KR,1,0,0
L000213,U0013,2026-01-05 08:59:00,211.221.114.144,DEV-0013-0,macOS 14,KR,1,0,0
L000214,U0135,2026-01-05 09:00:00,211.188.39.69,DEV-0135-0,iOS 17.4,KR,1,0,0
L000215,U0159,2026-01-05 09:08:00,211.139.8.212,DEV-0159-0,iOS 16.6,KR,1,0,0
L000216,U0206,2026-01-05 09:28:00,121.98.109.53,DEV-0206-0,iOS 17.4,KR,1,0,0
L000217,U0114,2026-01-05 09:37:00,211.155.47.128,DEV-0114-0,Windows 11,KR,1,0,0
L000218,U0099,2026-01-05 09:39:00,45.137.34.122,BOT-7095,Windows 11,해외,0,1,0
L000219,U0130,2026-01-05 09:40:00,45.175.101.219,BOT-5691,iOS 16.6,해외,0,1,0
L000220,U0021,2026-01-05 09:44:00,211.53.124.211,DEV-0021-0,Android 14,KR,1,0,0
L000221,U0145,2026-01-05 09:50:00,45.31.172.44,BOT-5179,iOS 16.6,해외,0,1,0
L000222,U0204,2026-01-05 10:44:00,211.74.127.75,DEV-0204-0,iOS 17.4,KR,1,0,0
L000223,U0156,2026-01-05 11:05:00,211.233.79.160,DEV-0156-0,Android 14,KR,1,0,0
L000224,U0145,2026-01-05 12:14:00,45.31.172.44,BOT-9240,Windows 11,해외,0,1,0
L000225,U0289,2026-01-05 12:49:00,211.86.156.95,DEV-0289-0,Android 13,KR,1,0,0
L000226,U0033,2026-01-05 13:17:00,211.106.41.104,DEV-0033-0,macOS 14,KR,1,0,0
L000227,U0157,2026-01-05 13:42:00,211.128.133.127,DEV-0157-0,iOS 16.6,KR,1,0,0
L000228,U0001,2026-01-05 13:45:00,211.147.119.132,DEV-0001-0,iOS 16.6,KR,0,0,0
L000229,U0087,2026-01-05 14:21:00,211.132.72.101,DEV-0087-0,iOS 17.4,KR,1,0,0
L000230,U0356,2026-01-05 14:56:00,211.183.107.182,DEV-0356-0,Windows 11,KR,1,0,0
L000231,U0065,2026-01-05 15:08:00,211.220.232.30,DEV-0065-0,iOS 16.6,KR,1,0,0
L000232,U0247,2026-01-05 15:24:00,211.50.212.87,DEV-0247-1,iOS 17.4,KR,1,0,0
L000233,U0235,2026-01-05 15:45:00,211.218.7.127,DEV-0235-1,Android 13,KR,1,0,0
L000234,U0113,2026-01-05 16:08:00,211.114.151.148,DEV-0113-0,Android 13,KR,1,0,0
L000235,U0351,2026-01-05 16:30:00,121.41.60.64,DEV-0351-0,Android 13,KR,1,0,0
L000236,U0207,2026-01-05 16:33:00,211.92.54.234,DEV-0207-new,Android 14,KR,1,0,0
L000237,U0101,2026-01-05 16:36:00,211.56.141.235,DEV-0101-0,iOS 16.6,KR,1,0,0
L000238,U0313,2026-01-05 17:03:00,211.163.25.46,DEV-0313-new,Windows 11,KR,1,0,0
L000239,U0049,2026-01-05 17:11:00,121.29.14.84,DEV-0049-0,macOS 14,KR,1,0,0
L000240,U0308,2026-01-05 17:19:00,211.132.75.58,DEV-0308-0,macOS 14,KR,1,0,0
L000241,U0237,2026-01-05 17:20:00,211.254.150.223,DEV-0237-new,Windows 11,KR,1,0,0
L000242,U0371,2026-01-05 17:34:00,211.102.255.200,DEV-0371-0,macOS 14,KR,1,0,0
L000243,U0126,2026-01-05 17:46:00,211.236.93.52,DEV-0126-0,iOS 17.4,KR,1,0,0
L000244,U0398,2026-01-05 17:55:00,211.140.241.249,DEV-0398-0,Android 13,KR,1,0,0
L000245,U0255,2026-01-05 18:26:00,211.220.133.170,DEV-0255-0,Android 13,KR,1,0,0
L000246,U0361,2026-01-05 18:49:00,211.31.144.135,DEV-0361-0,iOS 16.6,KR,1,0,0
L000247,U0289,2026-01-05 18:59:00,211.86.156.95,DEV-0289-0,Android 13,KR,1,0,0
L000248,U0224,2026-01-05 19:46:00,45.175.101.219,BOT-9118,Android 14,해외,0,1,0
L000249,U0252,2026-01-05 20:01:00,211.128.181.75,DEV-0252-0,Windows 11,KR,1,0,0
L000250,U0286,2026-01-05 20:45:00,45.26.12.114,BOT-5774,Windows 11,해외,0,1,0
L000251,U0347,2026-01-05 21:44:00,211.100.33.249,DEV-0347-0,iOS 16.6,KR,1,0,0
L000252,U0304,2026-01-05 22:37:00,211.100.128.168,DEV-0304-0,Windows 11,KR,1,0,0
L000253,U0109,2026-01-05 23:49:00,45.212.220.110,BOT-9574,Windows 11,해외,0,1,0
L000254,U0041,2026-01-06 00:20:00,45.175.101.219,BOT-8984,macOS 14,해외,0,1,0
L000255,U0145,2026-01-06 00:29:00,45.31.172.44,BOT-2869,Android 14,해외,0,1,0
L000256,U0229,2026-01-06 00:30:00,45.31.172.44,BOT-6040,iOS 17.4,해외,0,1,0
L000257,U0286,2026-01-06 00:31:00,45.26.12.114,BOT-9455,iOS 16.6,해외,0,1,0
L000258,U0142,2026-01-06 02:46:00,45.212.220.110,BOT-2966,Android 14,해외,0,1,0
L000259,U0212,2026-01-06 02:52:00,45.175.101.219,BOT-5459,Android 13,해외,0,1,0
L000260,U0180,2026-01-06 03:14:00,45.26.12.114,BOT-4462,Android 13,해외,0,1,0
L000261,U0142,2026-01-06 04:31:00,45.212.220.110,BOT-3549,macOS 14,해외,0,1,0
L000262,U0012,2026-01-06 06:04:00,45.29.246.38,BOT-5380,iOS 16.6,해외,0,1,0
